DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count,Row Labels,Sum of Passenger_Count
5/1/2014 0:00,04-06,Terminal 7,Departure,International,39491,07/01/17,8176029
5/1/2014 0:00,04-06,Terminal 8,Arrival,Domestic,111821,08/01/17,7930082
5/1/2014 0:00,04-06,Terminal 8,Departure,Domestic,108348,09/01/17,6785089
5/1/2014 0:00,04-06,Tom Bradley International Terminal,Arrival,Domestic,2021,10/01/17,7186593
5/1/2014 0:00,04-06,Tom Bradley International Terminal,Arrival,International,412808,11/01/17,6785973
5/1/2014 0:00,04-06,Tom Bradley International Terminal,Departure,International,338863,12/01/17,7097933
5/1/2014 0:00,05-06,Imperial Terminal,Arrival,Domestic,210,01/01/18,6687107
5/1/2014 0:00,05-06,Imperial Terminal,Arrival,International,54,02/01/18,6043279
5/1/2014 0:00,05-06,Imperial Terminal,Departure,Domestic,229,03/01/18,7230087
5/1/2014 0:00,05-06,Imperial Terminal,Departure,International,45,04/01/18,7160368
5/1/2014 0:00,05-06,Misc. Terminal,Arrival,Domestic,286,05/01/18,7544877
5/1/2014 0:00,05-06,Misc. Terminal,Departure,Domestic,254,06/01/18,8012469
5/1/2014 0:00,05-06,Terminal 1,Arrival,Domestic,449152,07/01/18,8430430
5/1/2014 0:00,05-06,Terminal 1,Departure,Domestic,435464,08/01/18,8137410
5/1/2014 0:00,05-06,Terminal 1,Departure,International,577,09/01/18,6882524
5/1/2014 0:00,05-06,Terminal 2,Arrival,Domestic,103178,Grand Total,868075944
5/1/2014 0:00,05-06,Terminal 2,Arrival,International,154867,,
5/1/2014 0:00,05-06,Terminal 2,Departure,Domestic,102882,,
5/1/2014 0:00,05-06,Terminal 2,Departure,International,160172,,
5/1/2014 0:00,05-06,Terminal 3,Arrival,Domestic,141814,,
5/1/2014 0:00,05-06,Terminal 3,Arrival,International,21559,,
5/1/2014 0:00,05-06,Terminal 3,Departure,Domestic,145835,,
5/1/2014 0:00,05-06,Terminal 3,Departure,International,56538,,
5/1/2014 0:00,05-06,Terminal 4,Arrival,Domestic,421319,,
5/1/2014 0:00,05-06,Terminal 4,Arrival,International,63381,,
5/1/2014 0:00,05-06,Terminal 4,Departure,Domestic,416106,,
5/1/2014 0:00,05-06,Terminal 4,Departure,International,49805,,
5/1/2014 0:00,05-06,Terminal 5,Arrival,Domestic,150001,,
5/1/2014 0:00,05-06,Terminal 5,Arrival,International,29699,,
5/1/2014 0:00,05-06,Terminal 5,Departure,Domestic,146731,,
5/1/2014 0:00,05-06,Terminal 5,Departure,International,28671,,
5/1/2014 0:00,05-06,Terminal 6,Arrival,Domestic,218606,,
5/1/2014 0:00,05-06,Terminal 6,Arrival,International,4187,,
5/1/2014 0:00,05-06,Terminal 6,Departure,Domestic,219638,,
5/1/2014 0:00,05-06,Terminal 6,Departure,International,5009,,
5/1/2014 0:00,05-06,Terminal 7,Arrival,Domestic,278391,,
5/1/2014 0:00,05-06,Terminal 7,Arrival,International,32810,,
5/1/2014 0:00,05-06,Terminal 7,Departure,Domestic,278511,,
5/1/2014 0:00,05-06,Terminal 7,Departure,International,36643,,
5/1/2014 0:00,05-06,Terminal 8,Arrival,Domestic,118195,,
5/1/2014 0:00,05-06,Terminal 8,Departure,Domestic,113395,,
5/1/2014 0:00,05-06,Tom Bradley International Terminal,Arrival,Domestic,2944,,
5/1/2014 0:00,05-06,Tom Bradley International Terminal,Arrival,International,403756,,
5/1/2014 0:00,05-06,Tom Bradley International Terminal,Departure,International,386494,,
5/1/2014 0:00,06-06,Imperial Terminal,Arrival,Domestic,25,,
5/1/2014 0:00,06-06,Imperial Terminal,Departure,Domestic,74,,
5/1/2014 0:00,06-06,Misc. Terminal,Arrival,Domestic,5,,
5/1/2014 0:00,06-06,Misc. Terminal,Departure,Domestic,66,,
5/1/2014 0:00,06-06,Terminal 1,Arrival,Domestic,459302,,
5/1/2014 0:00,06-06,Terminal 1,Departure,Domestic,460256,,
5/1/2014 0:00,06-06,Terminal 1,Departure,International,652,,
5/1/2014 0:00,06-06,Terminal 2,Arrival,Domestic,108894,,
5/1/2014 0:00,06-06,Terminal 2,Arrival,International,156867,,
5/1/2014 0:00,06-06,Terminal 2,Departure,Domestic,112702,,
5/1/2014 0:00,06-06,Terminal 2,Departure,International,175532,,
5/1/2014 0:00,06-06,Terminal 3,Arrival,Domestic,159549,,
5/1/2014 0:00,06-06,Terminal 3,Arrival,International,19948,,
5/1/2014 0:00,06-06,Terminal 3,Departure,Domestic,162854,,
5/1/2014 0:00,06-06,Terminal 3,Departure,International,52990,,
5/1/2014 0:00,06-06,Terminal 4,Arrival,Domestic,428312,,
5/1/2014 0:00,06-06,Terminal 4,Arrival,International,67925,,
5/1/2014 0:00,06-06,Terminal 4,Departure,Domestic,436887,,
5/1/2014 0:00,06-06,Terminal 4,Departure,International,53056,,
5/1/2014 0:00,06-06,Terminal 5,Arrival,Domestic,174320,,
5/1/2014 0:00,06-06,Terminal 5,Arrival,International,25471,,
5/1/2014 0:00,06-06,Terminal 5,Departure,Domestic,182546,,
5/1/2014 0:00,06-06,Terminal 5,Departure,International,32616,,
5/1/2014 0:00,06-06,Terminal 6,Arrival,Domestic,232429,,
5/1/2014 0:00,06-06,Terminal 6,Arrival,International,9126,,
5/1/2014 0:00,06-06,Terminal 6,Departure,Domestic,238648,,
5/1/2014 0:00,06-06,Terminal 6,Departure,International,5648,,
5/1/2014 0:00,06-06,Terminal 7,Arrival,Domestic,296558,,
5/1/2014 0:00,06-06,Terminal 7,Arrival,International,34183,,
5/1/2014 0:00,06-06,Terminal 7,Departure,Domestic,304254,,
5/1/2014 0:00,06-06,Terminal 7,Departure,International,47960,,
5/1/2014 0:00,06-06,Terminal 8,Arrival,Domestic,118608,,
5/1/2014 0:00,06-06,Terminal 8,Departure,Domestic,115685,,
5/1/2014 0:00,06-06,Tom Bradley International Terminal,Arrival,Domestic,2824,,
5/1/2014 0:00,06-06,Tom Bradley International Terminal,Arrival,International,413444,,
5/1/2014 0:00,06-06,Tom Bradley International Terminal,Departure,International,419807,,
5/1/2014 0:00,07-06,Imperial Terminal,Arrival,Domestic,89,,
5/1/2014 0:00,07-06,Imperial Terminal,Departure,Domestic,88,,
5/1/2014 0:00,07-06,Misc. Terminal,Arrival,Domestic,5,,
5/1/2014 0:00,07-06,Misc. Terminal,Arrival,International,4,,
5/1/2014 0:00,07-06,Misc. Terminal,Departure,Domestic,8,,
5/1/2014 0:00,07-06,Terminal 1,Arrival,Domestic,469516,,
5/1/2014 0:00,07-06,Terminal 1,Departure,Domestic,468038,,
5/1/2014 0:00,07-06,Terminal 1,Departure,International,784,,
5/1/2014 0:00,07-06,Terminal 2,Arrival,Domestic,120213,,
5/1/2014 0:00,07-06,Terminal 2,Arrival,International,191247,,
5/1/2014 0:00,07-06,Terminal 2,Departure,Domestic,121663,,
5/1/2014 0:00,07-06,Terminal 2,Departure,International,188679,,
5/1/2014 0:00,07-06,Terminal 3,Arrival,Domestic,181198,,
5/1/2014 0:00,07-06,Terminal 3,Arrival,International,25029,,
5/1/2014 0:00,07-06,Terminal 3,Departure,Domestic,185292,,
5/1/2014 0:00,07-06,Terminal 3,Departure,International,56763,,
5/1/2014 0:00,07-06,Terminal 4,Arrival,Domestic,460367,,
5/1/2014 0:00,07-06,Terminal 4,Arrival,International,64509,,
5/1/2014 0:00,07-06,Terminal 4,Departure,Domestic,456673,,
5/1/2014 0:00,07-06,Terminal 4,Departure,International,55251,,
5/1/2014 0:00,07-06,Terminal 5,Arrival,Domestic,196803,,
5/1/2014 0:00,07-06,Terminal 5,Arrival,International,36064,,
5/1/2014 0:00,07-06,Terminal 5,Departure,Domestic,195215,,
5/1/2014 0:00,07-06,Terminal 5,Departure,International,44069,,
5/1/2014 0:00,07-06,Terminal 6,Arrival,Domestic,269170,,
5/1/2014 0:00,07-06,Terminal 6,Arrival,International,13247,,
5/1/2014 0:00,07-06,Terminal 6,Departure,Domestic,266116,,
5/1/2014 0:00,07-06,Terminal 6,Departure,International,9219,,
5/1/2014 0:00,07-06,Terminal 7,Arrival,Domestic,305257,,
5/1/2014 0:00,07-06,Terminal 7,Arrival,International,38300,,
5/1/2014 0:00,07-06,Terminal 7,Departure,Domestic,303306,,
5/1/2014 0:00,07-06,Terminal 7,Departure,International,49922,,
5/1/2014 0:00,07-06,Terminal 8,Arrival,Domestic,117910,,
5/1/2014 0:00,07-06,Terminal 8,Departure,Domestic,116863,,
5/1/2014 0:00,07-06,Tom Bradley International Terminal,Arrival,Domestic,2581,,
5/1/2014 0:00,07-06,Tom Bradley International Terminal,Arrival,International,500009,,
5/1/2014 0:00,07-06,Tom Bradley International Terminal,Departure,Domestic,210,,
5/1/2014 0:00,07-06,Tom Bradley International Terminal,Departure,International,410046,,
5/1/2014 0:00,08-06,Imperial Terminal,Arrival,Domestic,5,,
5/1/2014 0:00,08-06,Imperial Terminal,Departure,Domestic,238,,
5/1/2014 0:00,08-06,Terminal 1,Arrival,Domestic,456601,,
5/1/2014 0:00,08-06,Terminal 1,Departure,Domestic,466636,,
5/1/2014 0:00,08-06,Terminal 1,Departure,International,694,,
5/1/2014 0:00,08-06,Terminal 2,Arrival,Domestic,115441,,
5/1/2014 0:00,08-06,Terminal 2,Arrival,International,192850,,
5/1/2014 0:00,08-06,Terminal 2,Departure,Domestic,117633,,
5/1/2014 0:00,08-06,Terminal 2,Departure,International,184788,,
5/1/2014 0:00,08-06,Terminal 3,Arrival,Domestic,187002,,
5/1/2014 0:00,08-06,Terminal 3,Arrival,International,26357,,
5/1/2014 0:00,08-06,Terminal 3,Departure,Domestic,189894,,
5/1/2014 0:00,08-06,Terminal 3,Departure,International,57395,,
5/1/2014 0:00,08-06,Terminal 4,Arrival,Domestic,437457,,
5/1/2014 0:00,08-06,Terminal 4,Arrival,International,60667,,
5/1/2014 0:00,08-06,Terminal 4,Departure,Domestic,444030,,
5/1/2014 0:00,08-06,Terminal 4,Departure,International,48169,,
5/1/2014 0:00,08-06,Terminal 5,Arrival,Domestic,184823,,
5/1/2014 0:00,08-06,Terminal 5,Arrival,International,36361,,
5/1/2014 0:00,08-06,Terminal 5,Departure,Domestic,188285,,
5/1/2014 0:00,08-06,Terminal 5,Departure,International,39815,,
5/1/2014 0:00,08-06,Terminal 6,Arrival,Domestic,249077,,
5/1/2014 0:00,08-06,Terminal 6,Arrival,International,9858,,
5/1/2014 0:00,08-06,Terminal 6,Departure,Domestic,264371,,
5/1/2014 0:00,08-06,Terminal 6,Departure,International,7255,,
5/1/2014 0:00,08-06,Terminal 7,Arrival,Domestic,297564,,
5/1/2014 0:00,08-06,Terminal 7,Arrival,International,30644,,
5/1/2014 0:00,08-06,Terminal 7,Departure,Domestic,301232,,
5/1/2014 0:00,08-06,Terminal 7,Departure,International,48459,,
5/1/2014 0:00,08-06,Terminal 8,Arrival,Domestic,111537,,
5/1/2014 0:00,08-06,Terminal 8,Departure,Domestic,114106,,
5/1/2014 0:00,08-06,Tom Bradley International Terminal,Arrival,Domestic,2560,,
5/1/2014 0:00,08-06,Tom Bradley International Terminal,Arrival,International,484661,,
5/1/2014 0:00,08-06,Tom Bradley International Terminal,Departure,International,388778,,
5/1/2014 0:00,09-06,Imperial Terminal,Arrival,Domestic,111,,
5/1/2014 0:00,09-06,Imperial Terminal,Departure,Domestic,211,,
5/1/2014 0:00,09-06,Misc. Terminal,Arrival,Domestic,209,,
5/1/2014 0:00,09-06,Misc. Terminal,Departure,Domestic,152,,
5/1/2014 0:00,09-06,Terminal 1,Arrival,Domestic,382011,,
5/1/2014 0:00,09-06,Terminal 1,Departure,Domestic,376874,,
5/1/2014 0:00,09-06,Terminal 1,Departure,International,114,,
5/1/2014 0:00,09-06,Terminal 2,Arrival,Domestic,95225,,
5/1/2014 0:00,09-06,Terminal 2,Arrival,International,161321,,
5/1/2014 0:00,09-06,Terminal 2,Departure,Domestic,93291,,
5/1/2014 0:00,09-06,Terminal 2,Departure,International,160693,,
5/1/2014 0:00,09-06,Terminal 3,Arrival,Domestic,147121,,
5/1/2014 0:00,09-06,Terminal 3,Arrival,International,19726,,
5/1/2014 0:00,09-06,Terminal 3,Departure,Domestic,140018,,
5/1/2014 0:00,09-06,Terminal 3,Departure,International,45354,,
5/1/2014 0:00,09-06,Terminal 4,Arrival,Domestic,379889,,
5/1/2014 0:00,09-06,Terminal 4,Arrival,International,57183,,
5/1/2014 0:00,09-06,Terminal 4,Departure,Domestic,375614,,
5/1/2014 0:00,09-06,Terminal 4,Departure,International,46217,,
5/1/2014 0:00,09-06,Terminal 5,Arrival,Domestic,140796,,
5/1/2014 0:00,09-06,Terminal 5,Arrival,International,20688,,
5/1/2014 0:00,09-06,Terminal 5,Departure,Domestic,137659,,
5/1/2014 0:00,09-06,Terminal 5,Departure,International,23665,,
5/1/2014 0:00,09-06,Terminal 6,Arrival,Domestic,203218,,
5/1/2014 0:00,09-06,Terminal 6,Arrival,International,5049,,
5/1/2014 0:00,09-06,Terminal 6,Departure,Domestic,203971,,
5/1/2014 0:00,09-06,Terminal 6,Departure,International,3446,,
5/1/2014 0:00,09-06,Terminal 7,Arrival,Domestic,241417,,
5/1/2014 0:00,09-06,Terminal 7,Arrival,International,32678,,
5/1/2014 0:00,09-06,Terminal 7,Departure,Domestic,240262,,
5/1/2014 0:00,09-06,Terminal 7,Departure,International,38656,,
5/1/2014 0:00,09-06,Terminal 8,Arrival,Domestic,114518,,
5/1/2014 0:00,09-06,Terminal 8,Departure,Domestic,110864,,
5/1/2014 0:00,09-06,Tom Bradley International Terminal,Arrival,Domestic,2990,,
5/1/2014 0:00,09-06,Tom Bradley International Terminal,Arrival,International,364109,,
5/1/2014 0:00,09-06,Tom Bradley International Terminal,Departure,International,342663,,
5/1/2014 0:00,10-06,Imperial Terminal,Arrival,Domestic,266,,
5/1/2014 0:00,10-06,Imperial Terminal,Departure,Domestic,149,,
5/1/2014 0:00,10-06,Misc. Terminal,Arrival,Domestic,456,,
5/1/2014 0:00,10-06,Misc. Terminal,Departure,Domestic,560,,
5/1/2014 0:00,10-06,Terminal 1,Arrival,Domestic,389307,,
5/1/2014 0:00,10-06,Terminal 1,Departure,Domestic,400200,,
5/1/2014 0:00,10-06,Terminal 1,Departure,International,330,,
5/1/2014 0:00,10-06,Terminal 2,Arrival,Domestic,103066,,
5/1/2014 0:00,10-06,Terminal 2,Arrival,International,157705,,
5/1/2014 0:00,10-06,Terminal 2,Departure,Domestic,102200,,
5/1/2014 0:00,10-06,Terminal 2,Departure,International,159191,,
5/1/2014 0:00,10-06,Terminal 3,Arrival,Domestic,146297,,
5/1/2014 0:00,10-06,Terminal 3,Arrival,International,17982,,
5/1/2014 0:00,10-06,Terminal 3,Departure,Domestic,142307,,
5/1/2014 0:00,10-06,Terminal 3,Departure,International,47829,,
5/1/2014 0:00,10-06,Terminal 4,Arrival,Domestic,409053,,
5/1/2014 0:00,10-06,Terminal 4,Arrival,International,53443,,
5/1/2014 0:00,10-06,Terminal 4,Departure,Domestic,397366,,
5/1/2014 0:00,10-06,Terminal 4,Departure,International,50131,,
5/1/2014 0:00,10-06,Terminal 5,Arrival,Domestic,155735,,
5/1/2014 0:00,10-06,Terminal 5,Arrival,International,20845,,
5/1/2014 0:00,10-06,Terminal 5,Departure,Domestic,153750,,
5/1/2014 0:00,10-06,Terminal 5,Departure,International,24564,,
5/1/2014 0:00,10-06,Terminal 6,Arrival,Domestic,219489,,
5/1/2014 0:00,10-06,Terminal 6,Arrival,International,3569,,
